total_bill,z-score,within_1sd,within_2sd,within_3sd
28.15,0.9395271101205361,True,True,True
11.59,-0.9206429296365457,True,True,True
7.74,-1.3531099980583312,False,True,True
30.14,1.163062036395693,False,True,True
12.16,-0.8566153376883853,True,True,True
13.42,-0.7150806607503465,True,True,True
8.58,-1.2587535467663051,False,True,True
15.98,-0.42751814252702935,True,True,True
13.42,-0.7150806607503465,True,True,True
16.27,-0.3949427010095443,True,True,True
10.09,-1.0891365926580205,False,True,True
20.45,0.07459297327696549,True,True,True
13.28,-0.7308067359656841,True,True,True
22.12,0.26218258477420764,True,True,True
24.01,0.474484600181266,True,True,True
15.69,-0.4600935840445146,True,True,True
11.61,-0.9183963474629261,True,True,True
10.77,-1.012752798754952,False,True,True
15.53,-0.47806624143347193,True,True,True
10.07,-1.0913831748316403,False,True,True
12.6,-0.8071905298687527,True,True,True
32.83,1.4652273387475376,False,True,True
35.83,1.8022146647904873,False,True,True
29.03,1.0383767257598018,False,True,True
27.18,0.8305678746999826,True,True,True
22.67,0.3239635945487485,True,True,True
17.82,-0.22083258255402025,True,True,True
18.78,-0.11299663822027628,True,True,True
